[1 2 6 6 2 3 3 3 0 5 4 0 3 4 6 6 5 4 6 5 6 4 6 0 3 2 4 2 6 4 0 4 5 3 4 0 5]	2	0	[4 0 5 6 2 3 2 3 3 2 2 0 5 0 4 6 5 4 4 5 6 4 4 1 4 0 1 2 7 3 1 4 5 3 5 0 5]	1	4	17	0
[4 0 5 6 2 3 2 3 3 2 2 0 5 0 4 6 5 4 4 5 6 4 4 1 4 0 1 2 7 3 1 4 5 3 5 0 5]	1	0	[9 1 7 4 0 1 7 0 3 0 5 0 1 0 5 6 3 4 3 3 1 2 3 1 8 2 1 3 3 0 2 2 3 1 1 1 2]	4	9	45	0
[9 1 7 4 0 1 7 0 3 0 5 0 1 0 5 6 3 4 3 3 1 2 3 1 8 2 1 3 3 0 2 2 3 1 1 1 2]	0	0	[12  0  4  0  2  0  6  1  1  0  4  2  0  0  1  4  3  0  2  1  7  4  4  1  4  0  0  2  3  1  4  2  1  1  1  1  3]	9	12	55	0
[12  0  4  0  2  0  6  1  1  0  4  2  0  0  1  4  3  0  2  1  7  4  4  1  4  0  0  2  3  1  4  2  1  1  1  1  3]	1	0	[13  1  1  2  2  4  3  2  2  2  1  3  3  1  0  4  3  2  0  2  8  3  1  2  4  0  0  3  3  0  1  2  1  2  0  2  3]	12	13	19	0
[13  1  1  2  2  4  3  2  2  2  1  3  3  1  0  4  3  2  0  2  8  3  1  2  4  0  0  3  3  0  1  2  1  2  0  2  3]	1	0	[14  1  4  0  0  1  3  1  3  2  4  1  0  0  2  2  1  1  5  1  4  2  2  0  1  0  1  1  1  1  6  2  7  0  3  5  4]	13	14	43	1
[1 2 6 5 2 4 7 5 0 5 4 0 2 3 5 6 7 3 4 5 7 5 6 0 3 1 4 1 6 4 0 3 5 2 1 0 6]	1	0	[2 0 5 4 0 1 8 3 3 4 6 1 1 0 5 7 2 4 5 0 4 5 4 0 5 0 1 3 3 2 4 1 5 1 3 4 6]	1	2	55	0
[2 0 5 4 0 1 8 3 3 4 6 1 1 0 5 7 2 4 5 0 4 5 4 0 5 0 1 3 3 2 4 1 5 1 3 4 6]	1	0	[3 1 6 3 1 1 3 1 1 2 3 0 2 0 1 3 2 2 5 2 4 3 4 1 2 0 4 1 2 2 1 5 3 3 3 2 3]	2	3	56	0
[3 1 6 3 1 1 3 1 1 2 3 0 2 0 1 3 2 2 5 2 4 3 4 1 2 0 4 1 2 2 1 5 3 3 3 2 3]	2	0	[6 1 3 1 0 3 4 2 1 0 4 2 1 0 3 1 1 2 5 1 2 4 4 1 2 1 3 4 2 1 5 5 4 2 1 3 3]	3	6	58	0
[6 1 3 1 0 3 4 2 1 0 4 2 1 0 3 1 1 2 5 1 2 4 4 1 2 1 3 4 2 1 5 5 4 2 1 3 3]	1	0	[11  3  3  1  0  4  3  2  0  3  4  2  0  3  3  1  0  4  6  0  2  6  3  1  3  4  3  4  0  3  4  3  2  4  4  1  2]	6	11	43	0
[11  3  3  1  0  4  3  2  0  3  4  2  0  3  3  1  0  4  6  0  2  6  3  1  3  4  3  4  0  3  4  3  2  4  4  1  2]	0	0	[14  3  3  3  1  2  2  3  1  3  0  0  0  3  5  0  2  7  5  2  2  7  5  1  1  1  1  3  1  2  1  4  2  4  3  1  2]	11	14	53	1
[1 2 6 5 1 2 7 5 0 6 3 0 2 4 5 4 5 1 5 6 8 5 5 0 6 2 4 0 5 2 0 3 4 3 4 0 5]	2	-2.3529411764705888	[4 0 3 5 1 1 4 5 0 4 1 0 7 0 1 4 6 4 1 6 8 3 2 0 6 0 3 0 5 2 1 4 4 2 1 0 6]	1	4	19	0
[4 0 3 5 1 1 4 5 0 4 1 0 7 0 1 4 6 4 1 6 8 3 2 0 6 0 3 0 5 2 1 4 4 2 1 0 6]	1	-1.333333333333333	[ 9  0  3  3  0  0 10  2  0  4  4  0  1  0  3  6  0  1  3  0  2  3  6  2  6  0  1  2  6  0  2  1  5  3  1  2  6]	4	9	48	0
[ 9  0  3  3  0  0 10  2  0  4  4  0  1  0  3  6  0  1  3  0  2  3  6  2  6  0  1  2  6  0  2  1  5  3  1  2  6]	0	3.8181818181818192	[12  0  6  4  0  0  2  0  1  5  6  1  1  1  0  2  1  1  0  0  2  6  1  3  4  2  3  1  2  1  2  4  0  4  3  2  6]	9	12	48	0
