[1 1 5 4 2 4 6 6 0 5 3 0 3 4 6 4 8 3 5 5 6 5 5 0 5 2 3 2 6 3 0 3 5 3 3 0 5]	1	19.112903225806456	[2 0 4 4 2 3 4 6 2 2 2 0 5 1 4 4 8 3 4 5 7 4 4 0 6 0 2 2 7 3 0 3 7 2 3 0 6]	1	2	15	0
[2 0 4 4 2 3 4 6 2 2 2 0 5 1 4 4 8 3 4 5 7 4 4 0 6 0 2 2 7 3 0 3 7 2 3 0 6]	2	-16.470588235294116	[5 3 1 1 1 2 5 2 0 5 2 0 0 1 5 5 1 7 1 4 6 6 3 1 0 4 2 2 0 1 2 2 2 6 1 2 2]	2	5	93	0
[5 3 1 1 1 2 5 2 0 5 2 0 0 1 5 5 1 7 1 4 6 6 3 1 0 4 2 2 0 1 2 2 2 6 1 2 2]	0	0	[8 2 3 1 0 4 1 2 0 2 6 2 1 2 1 4 3 6 5 1 0 5 6 1 0 5 1 1 0 4 5 4 5 2 3 1 0]	5	8	58	0
[8 2 3 1 0 4 1 2 0 2 6 2 1 2 1 4 3 6 5 1 0 5 6 1 0 5 1 1 0 4 5 4 5 2 3 1 0]	2	19.374999999999996	[11  1  2  1  0  1  1  2  3  2  6  2  1  0  2  4  4  1  5  1  1  4  4  2  1  0  1  1  0  1  3  4  8  3  2  4  0]	8	11	17	0
[11  1  2  1  0  1  1  2  3  2  6  2  1  0  2  4  4  1  5  1  1  4  4  2  1  0  1  1  0  1  3  4  8  3  2  4  0]	0	7.669172932330826	[14  1  3  1  0  2  2  2  1  4  2  2  1  1  2  2  0  2  7  2  0  6  4  0  1  1  3  2  0  1  2  0  5  4  4  4  1]	11	14	33	1
[1 1 8 5 2 4 6 6 0 4 1 0 2 4 6 6 8 4 6 5 7 5 4 0 4 2 4 1 5 3 0 4 4 4 4 0 4]	2	19.536784741144412	[ 4  0 10  5  2  0  7  6  2  4  2  0  5  0  6  6  8  1  8  5  8  5  4  0  6  0  4  1  6  2  0  4  4  0  6  0  4]	1	4	16	0
[ 4  0 10  5  2  0  7  6  2  4  2  0  5  0  6  6  8  1  8  5  8  5  4  0  6  0  4  1  6  2  0  4  4  0  6  0  4]	1	-3.111111111111109	[9 1 6 3 2 0 6 1 1 2 4 1 1 0 2 7 1 1 3 2 7 6 3 1 5 0 2 4 8 1 2 4 3 0 1 3 3]	4	9	52	0
[9 1 6 3 2 0 6 1 1 2 4 1 1 0 2 7 1 1 3 2 7 6 3 1 5 0 2 4 8 1 2 4 3 0 1 3 3]	0	0.18750000000000266	[12  1  4  2  0  2  2  1  1  0  4  0  1  0  1  5  2  0  1  2  5  6  2  0  3  1  4  3  4  1  5  6  4  2  3  1  4]	9	12	53	0
[12  1  4  2  0  2  2  1  1  0  4  0  1  0  1  5  2  0  1  2  5  6  2  0  3  1  4  3  4  1  5  6  4  2  3  1  4]	1	1.200000000000001	[13  2  0  2  1  1  0  1  4  3  1  1  1  1  1  5  2  1  2  2  7  3  2  2  3  0  1  4  2  4  3  6  4  1  0  3  4]	12	13	16	0
[13  2  0  2  1  1  0  1  4  3  1  1  1  1  1  5  2  1  2  2  7  3  2  2  3  0  1  4  2  4  3  6  4  1  0  3  4]	1	-15.06849315068493	[14  1  3  4  1  0  2  1  1  1  3  2  0  0  2  4  4  1  7  3  4  1  4  1  4  1  0  6  3  2  6  5  2  3  2  2  3]	13	14	48	1
[1 2 7 3 2 3 7 5 0 5 3 0 3 4 4 4 6 3 5 6 7 5 4 0 6 2 4 4 3 2 0 3 5 2 2 0 4]	2	-4.908616187989554	[ 4  0  6  3  1  0 11  2  1  6  6  0  1  0  6  4  2  2  5  0  3  3  4  0  6  0  2  2  6  1  4  1  7  1  3  0  6]	1	4	53	0
[ 4  0  6  3  1  0 11  2  1  6  6  0  1  0  6  4  2  2  5  0  3  3  4  0  6  0  2  2  6  1  4  1  7  1  3  0  6]	1	1.7647058823529416	[9 2 8 2 1 4 4 1 0 8 0 1 2 5 2 2 2 6 4 2 0 8 3 1 1 3 3 2 0 3 1 4 2 5 1 2 1]	4	9	44	0
[9 2 8 2 1 4 4 1 0 8 0 1 2 5 2 2 2 6 4 2 0 8 3 1 1 3 3 2 0 3 1 4 2 5 1 2 1]	0	1.2676056338028185	[12  3  5  2  0  2  4  3  1  4  5  0  1  2  2  1  0  5  5  2  1  3  3  1  1  1  3  5  2  3  4  1  2  2  3  0  0]	9	12	51	0
[12  3  5  2  0  2  4  3  1  4  5  0  1  2  2  1  0  5  5  2  1  3  3  1  1  1  3  5  2  3  4  1  2  2  3  0  0]	1	-3.030303030303032	[13  2  5  2  2  1  5  3  1  2  5  0  0  0  2  1  2  2  6  2  2  0  4  1  5  0  4  6  2  1  4  1  4  0  3  1  0]	12	13	19	0
[13  2  5  2  2  1  5  3  1  2  5  0  0  0  2  1  2  2  6  2  2  0  4  1  5  0  4  6  2  1  4  1  4  0  3  1  0]	1	-13.033707865168541	[14  0  1  4  0  0  3  1  0  2  1  3  0  0  5  0  1  2  2  3  3  2  4  1  2  0  3  4  2  0  4  2  4  2  4  2  2]	13	14	49	1
[1 2 6 4 2 3 8 5 0 3 6 0 3 2 5 5 5 2 4 6 6 5 5 0 5 2 2 4 6 3 0 3 4 3 3 0 3]	1	-13.381294964028779	[2 1 5 2 0 1 5 1 1 3 6 1 0 0 3 9 2 2 4 2 3 1 7 2 4 1 0 5 7 0 4 0 4 2 5 1 5]	1	2	58	0
[2 1 5 2 0 1 5 1 1 3 6 1 0 0 3 9 2 2 4 2 3 1 7 2 4 1 0 5 7 0 4 0 4 2 5 1 5]	1	-1.132075471698113	[3 0 5 0 2 4 6 0 1 0 2 1 0 0 1 7 1 1 4 3 3 0 5 1 1 0 1 4 4 2 5 3 2 0 1 3 4]	2	3	56	0
[3 0 5 0 2 4 6 0 1 0 2 1 0 0 1 7 1 1 4 3 3 0 5 1 1 0 1 4 4 2 5 3 2 0 1 3 4]	2	2.033898305084747	[6 1 2 2 1 3 1 1 0 3 4 0 0 0 0 7 1 0 7 1 4 1 5 1 1 0 0 5 3 0 6 0 4 2 1 3 1]	3	6	55	0
[6 1 2 2 1 3 1 1 0 3 4 0 0 0 0 7 1 0 7 1 4 1 5 1 1 0 0 5 3 0 6 0 4 2 1 3 1]	1	2.5531914893617023	[11  3  1  0  0  5  2  1  0  5  1  0  1  3  3  6  0  0  2  2  0  4  3  0  1  5  0  3  1  2  6  3  2  5  5  3  1]	6	11	43	0
[11  3  1  0  0  5  2  1  0  5  1  0  1  3  3  6  0  0  2  2  0  4  3  0  1  5  0  3  1  2  6  3  2  5  5  3  1]	0	-5.060240963855422	[14  6  4  1  0  1  2  1  2  2  2  0  1  1  2  4  1  3  7  0  0  0  6  0  1  4  2  4  1  2  3  4  2  1  4  4  1]	11	14	52	1
[1 1 8 4 1 2 7 3 0 6 6 0 2 4 6 5 6 4 4 5 6 4 5 0 2 2 4 3 2 3 0 3 6 3 3 0 6]	1	17.055837563451774	[ 2  0 10  4  1  1  6  3  2  1  7  0  4  0  7  5  6  2  4  5  9  4  6  0  3  0  4  3  2  1  2  3  7  1  4  0  6]	1	2	17	0
